Tidspunkt;Vannføring (m³/s)
2010-04-12 11:00:00Z;0.03246722
2010-04-13 11:00:00Z;0.2225281
2010-04-14 11:00:00Z;0.240274
2010-04-15 11:00:00Z;0.4990995
2010-04-16 11:00:00Z;0.5199161
2010-04-17 11:00:00Z;0.4439768
2010-04-18 11:00:00Z;0.4105367
2010-04-19 11:00:00Z;0.2934664
2010-04-20 11:00:00Z;0.2295504
2010-04-21 11:00:00Z;0.1858124
2010-04-22 11:00:00Z;0.15523
2010-04-23 11:00:00Z;0.1381604
2010-04-24 11:00:00Z;0.1127805
2010-04-25 11:00:00Z;0.1040539
2010-04-26 11:00:00Z;0.1194643
2010-04-27 11:00:00Z;0.4152335
2010-04-28 11:00:00Z;0.4888471
2010-04-29 11:00:00Z;0.3965909
2010-04-30 11:00:00Z;0.3055351
2010-05-01 11:00:00Z;0.2439069
2010-05-02 11:00:00Z;0.2330996
2010-05-03 11:00:00Z;0.176358
2010-05-04 11:00:00Z;0.176358
2010-05-05 11:00:00Z;0.15523
2010-05-06 11:00:00Z;0.1299904
2010-05-07 11:00:00Z;0.1120596
2010-05-08 11:00:00Z;0.1299064
2010-05-09 11:00:00Z;0.1379373
2010-05-10 11:00:00Z;0.131413
2010-05-11 11:00:00Z;0.1310015
2010-05-12 11:00:00Z;0.1319243
2010-05-13 11:00:00Z;0.1505263
2010-05-14 11:00:00Z;0.208175
2010-05-15 11:00:00Z;0.4303888
2010-05-16 11:00:00Z;1.449629
2010-05-17 11:00:00Z;2.654633
2010-05-18 11:00:00Z;3.141069
2010-05-19 11:00:00Z;2.445231
2010-05-20 11:00:00Z;2.098717
2010-05-21 11:00:00Z;3.053483
2010-05-22 11:00:00Z;2.419612
2010-05-23 11:00:00Z;2.224224
2010-05-24 11:00:00Z;1.621589
2010-05-25 11:00:00Z;1.212428
2010-05-26 11:00:00Z;1.350755
2010-05-27 11:00:00Z;1.204354
2010-05-28 11:00:00Z;1.133013
2010-05-29 11:00:00Z;1.06642
2010-05-30 11:00:00Z;1.133014
2010-05-31 11:00:00Z;1.211274
2010-06-01 11:00:00Z;1.103176
2010-06-02 11:00:00Z;0.8689677
2010-06-03 11:00:00Z;0.9962249
2010-06-04 11:00:00Z;1.043431
2010-06-05 11:00:00Z;0.8706539
2010-06-06 11:00:00Z;0.6979634
2010-06-07 11:00:00Z;0.5769823
2010-06-08 11:00:00Z;0.5038325
2010-06-09 11:00:00Z;0.4821713
2010-06-10 11:00:00Z;0.5146731
2010-06-11 11:00:00Z;0.4540772
2010-06-12 11:00:00Z;0.5638118
2010-06-13 11:00:00Z;0.8300707
2010-06-14 11:00:00Z;0.9302359
2010-06-15 11:00:00Z;0.801735
2010-06-16 11:00:00Z;0.8410959
2010-06-17 11:00:00Z;1.392812
2010-06-18 11:00:00Z;1.172801
2010-06-19 11:00:00Z;1.349534
2010-06-20 11:00:00Z;1.356149
2010-06-21 11:00:00Z;1.157581
2010-06-22 11:00:00Z;1.52274
2010-06-23 11:00:00Z;1.487544
2010-06-24 11:00:00Z;1.05158
2010-06-25 11:00:00Z;0.8213011
2010-06-26 11:00:00Z;1.01492
2010-06-27 11:00:00Z;0.9087269
2010-06-28 11:00:00Z;1.007663
2010-06-29 11:00:00Z;0.7978216
2010-06-30 11:00:00Z;0.6567655
2010-07-01 11:00:00Z;0.5563189
2010-07-02 11:00:00Z;0.4835441
2010-07-03 11:00:00Z;0.4296902
2010-07-04 11:00:00Z;0.4202568
2010-07-05 11:00:00Z;0.4403355
2010-07-06 11:00:00Z;0.5960193
2010-07-07 11:00:00Z;0.5465173
2010-07-08 11:00:00Z;0.4809054
2010-07-09 11:00:00Z;0.510106
2010-07-10 11:00:00Z;0.5043722
2010-07-11 11:00:00Z;0.6435853
2010-07-12 11:00:00Z;0.6237015
2010-07-13 11:00:00Z;0.8029513
2010-07-14 11:00:00Z;1.076215
2010-07-15 11:00:00Z;0.967168
2010-07-16 11:00:00Z;0.7474104
2010-07-17 11:00:00Z;0.6345089
2010-07-18 11:00:00Z;0.888313
2010-07-19 11:00:00Z;2.936295
2010-07-20 11:00:00Z;3.891062
2010-07-21 11:00:00Z;2.844489
2010-07-22 11:00:00Z;1.997525
2010-07-23 11:00:00Z;1.746225
2010-07-24 11:00:00Z;1.327024
2010-07-25 11:00:00Z;0.9287848
2010-07-26 11:00:00Z;0.6902803
2010-07-27 11:00:00Z;0.5470781
2010-07-28 11:00:00Z;0.4687513
2010-07-29 11:00:00Z;0.3929486
2010-07-30 11:00:00Z;0.3374441
2010-07-31 11:00:00Z;0.3575266
2010-08-01 11:00:00Z;0.4295903
2010-08-02 11:00:00Z;0.4201584
2010-08-03 11:00:00Z;0.413664
2010-08-04 11:00:00Z;0.3910387
2010-08-05 11:00:00Z;0.3393995
2010-08-06 11:00:00Z;0.2941313
2010-08-07 11:00:00Z;0.2920578
2010-08-08 11:00:00Z;0.260009
2010-08-09 11:00:00Z;0.2275628
2010-08-10 11:00:00Z;0.1997576
2010-08-11 11:00:00Z;0.1781799
2010-08-12 11:00:00Z;0.1571861
2010-08-13 11:00:00Z;0.141754
2010-08-14 11:00:00Z;0.242086
2010-08-15 11:00:00Z;0.9527235
2010-08-16 11:00:00Z;0.9222682
2010-08-17 11:00:00Z;0.7053092
2010-08-18 11:00:00Z;0.5012476
2010-08-19 11:00:00Z;0.3724688
2010-08-20 11:00:00Z;0.2979648
2010-08-21 11:00:00Z;0.2437515
2010-08-22 11:00:00Z;0.2058626
2010-08-23 11:00:00Z;0.1848854
2010-08-24 11:00:00Z;0.1540742
2010-08-25 11:00:00Z;0.1289831
2010-08-26 11:00:00Z;0.1057038
2010-08-27 11:00:00Z;0.08876617
2010-08-28 11:00:00Z;0.07501192
2010-08-29 11:00:00Z;0.06380039
2010-08-30 11:00:00Z;0.05959286
2010-08-31 11:00:00Z;0.139604
2010-09-01 11:00:00Z;0.2925547
2010-09-02 11:00:00Z;0.3163728
2010-09-03 11:00:00Z;0.2823679
2010-09-04 11:00:00Z;0.2550242
2010-09-05 11:00:00Z;0.2561101
2010-09-06 11:00:00Z;0.2226736
2010-09-07 11:00:00Z;0.194625
2010-09-08 11:00:00Z;0.1679032
2010-09-09 11:00:00Z;0.1457458
2010-09-10 11:00:00Z;0.1279268
2010-09-11 11:00:00Z;0.1122744
2010-09-12 11:00:00Z;0.1001615
2010-09-13 11:00:00Z;0.4055686
2010-09-14 11:00:00Z;0.7421979
2010-09-15 11:00:00Z;0.6882718
2010-09-16 11:00:00Z;0.5853027
2010-09-17 11:00:00Z;0.4836506
2010-09-18 11:00:00Z;0.3905621
2010-09-19 11:00:00Z;0.344494
2010-09-20 11:00:00Z;0.3190459
2010-09-21 11:00:00Z;0.2795241
2010-09-22 11:00:00Z;0.2733172
2010-09-23 11:00:00Z;0.2455758
2010-09-24 11:00:00Z;0.2149725
2010-09-25 11:00:00Z;0.1900945
2010-09-26 11:00:00Z;0.1685999
2010-09-27 11:00:00Z;0.1618793
2010-09-28 11:00:00Z;0.1540744
2010-09-29 11:00:00Z;0.1415791
2010-09-30 11:00:00Z;0.1229801
2010-10-01 11:00:00Z;0.1105619
2010-10-02 11:00:00Z;0.09620872
2010-10-03 11:00:00Z;0.0850859
2010-10-04 11:00:00Z;0.07703815
2010-10-05 11:00:00Z;0.07360464
2010-10-06 11:00:00Z;0.0672499
2010-10-07 11:00:00Z;0.106515
2010-10-08 11:00:00Z;0.1815833
2010-10-09 11:00:00Z;1.118998
2010-10-10 11:00:00Z;1.592635
2010-10-11 11:00:00Z;1.143098
2010-10-12 11:00:00Z;0.8949984
2010-10-13 11:00:00Z;0.6877702
2010-10-14 11:00:00Z;0.5806735
2010-10-15 11:00:00Z;0.5008178
2010-10-16 11:00:00Z;0.456335
2010-10-17 11:00:00Z;0.7648739
2010-10-18 11:00:00Z;2.876021
2010-10-19 11:00:00Z;4.160987
2010-10-20 11:00:00Z;2.364084
2010-10-21 11:00:00Z;1.458156
2010-10-22 11:00:00Z;0.9957746
2010-10-23 11:00:00Z;0.72229
2010-10-24 11:00:00Z;0.5659774
2010-10-25 11:00:00Z;0.4571576
2010-10-26 11:00:00Z;0.3673626
2010-10-27 11:00:00Z;0.3463802
2010-10-28 11:00:00Z;0.2910654
2010-10-29 11:00:00Z;0.2520093
2010-10-30 11:00:00Z;0.1955101
2010-10-31 11:00:00Z;0.2011375
2010-11-01 11:00:00Z;0.9283781
2010-11-02 11:00:00Z;0.4906527
2010-11-03 11:00:00Z;0.417496
2010-11-04 11:00:00Z;0.3461104
2010-11-05 11:00:00Z;0.2887847
2010-11-06 11:00:00Z;0.2947128
2010-11-07 11:00:00Z;0.2593053
2010-11-08 11:00:00Z;0.2271231
2010-11-09 11:00:00Z;0.1906999
2010-11-10 11:00:00Z;0.1616308
2010-11-11 11:00:00Z;0.1343845
2010-11-12 11:00:00Z;0.114999
2010-11-13 11:00:00Z;0.1013972
2010-11-14 11:00:00Z;0.09021299
2010-11-15 11:00:00Z;0.08063619
2010-11-16 11:00:00Z;0.07381729
2010-11-17 11:00:00Z;0.07821389
2010-11-18 11:00:00Z;0.08068036
2010-11-19 11:00:00Z;0.08345462
2010-11-20 11:00:00Z;0.07939839
2010-11-21 11:00:00Z;0.0740725
2010-11-22 11:00:00Z;0.0685972
2010-11-23 11:00:00Z;0.06583523
2010-11-24 11:00:00Z;0.06020757
2010-11-25 11:00:00Z;0.069833
2010-11-26 11:00:00Z;0.06336525
2010-11-27 11:00:00Z;0.05667791
2010-11-28 11:00:00Z;0.05163175
